Ag	10.501
Al	2.70
Au	19.282
B	2.37
Ba	3.62
Be	1.85
Bi	9.807
Ca	1.54
Cd	8.69
C-Diamond	3.50
C-Glassy	1.50
Co	8.86
Cr	7.15
Cs	1.93
Cu	8.933
Fe	7.874
Ga	5.91
Ge	5.323
Hf	13.3
Hg	13.5336
In	7.31
Ir	22.42
K	0.89
Li	0.534
Mg	1.74
Mn	7.3
Mo	10.2
Na	0.97
Nb	8.57
Ni	8.912
Os	22.57
Pb	11.342
Pd	12.0
Pt	21.46
Rb	1.53
Re	20.8
Rh	12.4
Ru	12.1
Sb	6.685
Sc	2.99
Si	2.3296
Sn	7.287
Sr	2.64
Ta	16.4
Tc	11.0
Ti	4.5
Tl	11.8
U	18.95
V	6.0
W	19.3
Y	4.47
Zn	7.134
Zr	6.52
